Subject,Predicate,Object
just:item_diptych,dcterms:source,<https://collections.louvre.fr/ark:/53355/cl010114082>
just:item_diptych,dcterms:title,Feuillet de diptyque en cinq parties : l'Empereur triomphant (Justinien ?@fr
just:item_diptych,dcterms:medium,aat:300011829
just:item_diptych,dcterms:created,"""0525/0550"""
just:item_diptych,dcterms:type,aat:300033991
just:item_diptych,crm:P55_has_current_location,wd:Q19675
just:item_diptych,crm:P43_has_dimension ,"""29.8 x 26.6 cm"""
just:item_diptych,dcterms:subject,just:person_Justinian_I
just:item_diptych,schema:locationCreated,wd:Q16869
